Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
Maryville Esports,jcStani,Lamzu Atlantis,,800,0.4,320,1.00,,1920x1080,Logitech G640 Original,Wooting 60 HE,Audio-Technica ATH-M50X
Maryville Esports,ec1s,Logitech G Pro X Superlight Black,1000,800,0.314,251.2,1,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro,Logitech G Pro X Keyboard,HyperX Cloud II
Valiant,d3ffo,VAXEE ZYGEN NP-01,1000,800,0.51,408,1,ZOWIE XL2546,1280x960,VAXEE PA ZYGEN,Logitech G Pro Keyboard,Sennheiser GAME ZERO
Valiant,Ambi,Logitech G Pro X Superlight White,1000,400,0.41,164,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Corsair STRAFE,HyperX Cloud II
Oasis Gaming,DubsteP,Finalmouse Starlight-12 Phantom,1000,800,0.47,376,1.15,ZOWIE XL2546K,1920x1080,Corsair MM350 Champion Series,Corsair K70 RGB TKL,Corsair HS80 Wireless
ZERANCE,UNFAKE,Logitech G Pro X Superlight Black,1000,800,0.3,240,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,,HyperX Cloud II
YFP Gaming,penny,Logitech G Pro X Superlight Black,1000,800,0.35,280,1,,1920x1080,HyperX Fury S Pro,HyperX Alloy Elite,HyperX Cloud II
Moist x Shopify,v1c,Logitech G Pro X Superlight White,1000,800,0.196,156.8,1,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,Corsair K63,HyperX Cloud II Wireless
GIANTX,Fit1nho,Logitech G Pro X Superlight Black,1000,800,0.314,251.2,,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro Red,Wooting 60 HE,HyperX Cloud II
GIANTX,Cloud,Logitech G Pro X Superlight Black,1000,800,0.35,280,1,ZOWIE XL2566K,1920x1080,VAXEE PA FunSpark V2,Wooting 60 HE,HyperX Cloud II Pink
GIANTX,Redgar,VAXEE XE Wireless Black,1000,800,0.27,216,1,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Deep Blue,Logitech G Pro X Keyboard,Logitech G Pro X Headset
GIANTX,purp0,Logitech G Pro X Superlight 2 White,2000,800,0.35,280,0.8,ZOWIE XL2546K,1280x960,Artisan Ninja FX Zero XSoft Orange,Wooting 60 HE,HyperX Cloud II Pink
GIANTX,hoody,Pulsar Xlite V3 Es,1000,400,0.628,251.2,1,ZOWIE XL2566K,1920x1080,Logitech G640 Original,,Logitech G Pro X Headset
RETA Esports,delz1k,Logitech G Pro X Superlight Black,1000,400,0.72,288,1,ZOWIE XL2546K,1920x1080,VAXEE PA Black,HyperX Alloy FPS Pro,HyperX Cloud Flight
RETA Esports,murizzz,Logitech G Pro X Superlight Black,1000,800,0.45,360,0.82,AlienWare AW2518HF,1920x1080,VAXEE PA Black,Logitech G Pro Keyboard,Logitech G Pro X Wireless Headset
RETA Esports,NagZet,ZOWIE EC2-CW,1000,400,0.58,232,1,ZOWIE XL2546K,1920x1080,VAXEE PA FunSpark V2,Logitech G915 TKL Carbon,HyperX Cloud Flight
SZK Esports,jonba,Logitech G Pro X Superlight Black,1000,800,0.27,216,1,ZOWIE XL2540,1680x1050,ZOWIE G-SR-SE Blue,Razer Huntsman Mini,HyperX Cloud Alpha
Murash Gaming,Reita,VAXEE ZYGEN NP-01S Wireless Black,1000,1600,0.15,240,0.9,ZOWIE XL2546,1280x960,SteelSeries QcK Heavy,Logitech G915 TKL Carbon,Logitech G Pro X Headset
NASR Esports,7ssk7,FinalMouse Starlight-12,1000,800,0.31,248,1,ASUS ROG SWIFT PG259QN,1600x900,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Sennheiser GAME ZERO
HERO Base,dgzin,Logitech G Pro X Superlight 2 Black,2000,1600,0.07,112.00,1,ZOWIE XL2546K,1280x768,Lethal Gaming Gear Saturn Pro,SteelSeries Apex Pro TKL (2023),
Lucky7,Will,Logitech G Pro X Superlight Black,1000,800,0.4,320,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Mid,Ducky One 2 TKL White,EPOS H6PRO White
Lucky7,Kanpeki,Lamzu Atlantis 4K,1000,800,0.32,256,1,ZOWIE XL2546 Divina Pink,1920x1080,Artisan Ninja FX Zero Soft,Custom Keyboard,Razer BlackShark V2 Pro Black
