Team,Player,Mouse,DPI,X-Axis Sens,Y-Axis Sens,Targeting Sens,Scope Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
Free Agent,Veno,Logitech G Pro X Superlight 2 Black,800,4.4%,4.4%,40.0%,40.0%,Alienware AW2521H,1920x1080,4114 Fragment Aero,SteelSeries Apex Pro TKL (2023),HyperX Cloud II
Free Agent,pollofn,Logitech G Pro X Superlight 2 Black,800,6.4%,6.4%,35.0%,35.0%,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,
Free Agent,Zara,Razer Viper V2 Pro Black,800,10.2%,10.2%,40.0%,40.0%,Samsung Odyssey Neo G9,1920x1080,,Razer Huntsman V3 Pro Mini,
Free Agent,Noahreyli,Logitech G Pro X Superlight 2 Black,1600,4.5%,4.5%,35.0%,35.0%,Alienware AW2521H,1920x1080,Inked Gaming Custom Mousepad,Wooting 60 HE,Logitech G Pro X Headset
Free Agent,Рutrick,Logitech G Pro X Superlight Black,800,8.0%,8.0%,48.7%,48.9%,ZOWIE XL2546,1720x1080,Logitech G PowerPlay,Razer Huntsman TE,Logitech G Pro X Headset
Free Agent,Mero,,,,,,,Alienware AW2518H,1920x1080,,,ASTRO A40
Free Agent,Sandrinho,Razer Deathadder V3 Pro White,800,7.5%,7.5%,50.0%,50.0%,,1720x1080,Razer Gigantus V2,SteelSeries Apex Pro Mini Black,Razer BlackShark V2 Pro White
Free Agent,Ricbor,Logitech G Pro X Superlight 2 Black,1600,2.9%,2.9%,40.0%,40.0%,,1920x1080,,SteelSeries Apex Pro TKL (2023),Logitech G Pro X Headset
Free Agent,blackoutz,Logitech G Pro X Superlight 2 White,800,4.7%,4.7%,44.6%,44.6%,ASUS PG248QP,1920x1080,Artisan Hayate Otsu Mid,Wooting 60 HE,beyerdynamic DT 990 Pro
Free Agent,AsianJeff,Razer Deathadder V3 Pro White,800,8.0%,8.0%,35.0%,35.0%,Alienware AW2523HF,1920x1080,4D Gaming Enigma Rose,Razer Huntsman V3 Pro TKL,beyerdynamic DT 990 Pro
Free Agent,Swizzy,Razer Deathadder V3 Pro Black,1600,3.5%,3.5%,54.5%,54.6%,Alienware AW2523HF,1920x1080,Artisan Ninja FX Zero Soft,SteelSeries Apex Pro TKL (2023),Logitech G Pro X Headset
Free Agent,MariusCOW,Logitech G Pro X Superlight 2 Black,1600,3.6%,3.6%,37.0%,37.0%,ZOWIE XL2546K,1920x1080,Artisan FX Hien XSoft,SteelSeries Apex Pro Mini Black,Razer BlackShark V2 Pro White
Free Agent,Pixie,FinalMouse Starlight Pro,800,6.4%,6.4%,40.1%,40.1%,Acer Nitro XV252QF,1920x1080,Corsair MM350 Champion Series,SteelSeries Apex Pro TKL,Razer BlackShark V2 HyperSpeed
Content Creator,Sceptic,Finalmouse Ultralight 2,800,8.5%,8.5%,50.0%,50.0%,Alienware AW2518H,1920x1080,ESPTIGER LongTeng,Razer Huntsman Mini,HyperX Cloud Flight
Content Creator,jacobbb,,,,,,,Alienware AW2518H,1920x1080,,,SteelSeries Arctis Pro
Content Creator,Kamo,,,,,,,ASUS ROG SWIFT PG258Q,1920x1080,,,SteelSeries Arctis Pro Wireless
Content Creator,Milan,Finalmouse Ultralight 2,800,8.8%,8.8%,40.0%,60.0%,Alienware AW2518H,1920x1080,Glorious 3XL,SteelSeries Apex Pro TKL,Corsair Void Pro
Content Creator,Nayte,Logitech G Pro X Superlight Black,800,8.2%,8.2%,45.0%,45.0%,ZOWIE XL2546,1920x1080,Inked Gaming Custom Mousepad,Anne Pro 2,HyperX Cloud Alpha
Content Creator,Pate1k,Logitech G Pro X Superlight Black,800,6.3%,6.3%,40.0%,40.0%,ZOWIE XL2546,1600x900,Artisan Raiden FX Mid,,HyperX Cloud Alpha
Content Creator,Chap,Logitech G Pro X Superlight Black,1600,6.0%,6.0%,25.0%,25.0%,Alienware AW2518H,1920x1080,Glorious XXL,Wooting One,Sennheiser HD800 S
Content Creator,DiegoGB,Glorious Model O,800,12.0%,12.0%,50.0%,49%,Alienware AW2518H,1920x1080,Glorious XXL,SteelSeries Apex Pro TKL,Logitech G Pro X Headset
Content Creator,Teeqzy,Logitech G Pro X Superlight Black,400,12.0%,12.0%,50.0%,49%,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL,HyperX Cloud II
Content Creator,Myth,Logitech G703,700,5.0%,5.0%,34.5%,25.0%,ASUS ROG SWIFT PG258Q,1920x1080,Logitech G840,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Content Creator,RazorX,,,,,,,ASUS VG248QE,,,,HyperX Cloud II
Content Creator,Unknown,Logitech G Pro Wireless,400,11.5%,11.5%,50.0%,50.0%,Alienware AW2518H,1920x1080,SteelSeries QcK XXL,,beyerdynamic DT 1990 PRO
Content Creator,Aydan,,,,,,,Alienware AW2518H,1920x1080,,,ASTRO A40
Content Creator,Marz,Razer DeathAdder Elite,800,8.5%,8.5%,75.0%,75.0%,Alienware AW2518H,1920x1080,,Corsair K95 RGB PLATINUM,
Content Creator,Jamside,Logitech G502 Wireless,800,7.3%,7.3%,49.9%,49.9%,GIGABYTE AORUS KD25F,1600x900,HyperX Fury S Pro XL,SteelSeries Apex Pro TKL,HyperX Cloud Flight
Content Creator,Animal,FinalMouse Air58 Ninja CBR,400,12.5%,12.5%,50.0%,50.0%,Alienware AW2518H,1920x1080,Glorious 3XL,Razer Huntsman TE,HyperX Cloud II
Content Creator,Reverse2k,FinalMouse Air58 Ninja CBR,800,11.2%,9.5%,23.2%,28.4%,Alienware AW2518H,1920x1080,Logitech G640 Original,SteelSeries Apex Pro TKL,Logitech G Pro X Headset
